 RAW,26.750,1,124,100,67,481,299,274,510.4,329.4,439.3,0
 RAW,26.875,0,478,374,840,478,374,634,502.3,340.5,487.9,0
 RAW,27.000,1,927,583,903,741,461,840,562.0,370.6,576.0,0
 RAW,27.125,0,259,241,49,478,374,634,541.0,371.5,590.5,0
 RAW,27.250,1,159,167,311,259,241,311,470.5,338.9,520.6,0
 RAW,27.375,0,988,743,1004,478,374,840,472.4,347.6,600.5,0
 RAW,27.500,1,507,441,45,507,441,311,481.0,371.0,528.1,0
 RAW,27.625,0,62,89,98,259,241,98,425.5,338.5,420.6,0
 RAW,27.750,1,895,676,1020,507,441,311,445.9,364.1,393.2,1
 RAW,27.875,0,848,843,705,848,676,705,546.4,442.1,471.1,0
 PROC,27.875,0,101,78,1.2949,1.4258,1.0000,+0.00,+0.00,-0.2570,-0.3163,432
 RAW,28.000,1,56,145,32,507,441,98,536.6,441.8,377.8,0
 RAW,28.125,0,475,423,931,475,423,705,521.2,437.1,459.6,0
